Control.task.start_produce,x0,num_restarts,input_name,Grammatical_WM_P.C2.confidence_threshold,syntactic_complexity_mean,syntactic_complexity_std,utterance_length_mean,utterance_length_std,active,passive,total_constructions,produced
167.333333333,70,10,blue_woman_kick_man,0.3,0.154761904762,0.155674962269,2.75,2.04633819297,1,0,12,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.66666666667,0.942809041582,0,1,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.66666666667,0.942809041582,0,1,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,3.33333333333,3.29983164554,0,1,12,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.66666666667,0.942809041582,0,1,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,1.75,0.829156197589,0,1,8,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.75,1.08972473589,3,0,15,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.75,1.08972473589,3,0,15,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
222.777777778,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
278.222222222,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
278.222222222,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.33333333333,2.05480466766,0,1,8,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,4.0,3.0,0,1,7,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
278.222222222,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
278.222222222,30,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
333.666666667,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
